               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.024699,            0.010335,           0.0033281,             0.96066,             0.97099,             0.97945,             0.69962,            0.025168,           0.0060424,           0.0019732,            0.001981,            0.001981,            0.001981
                  83,             0.02516,            0.010837,           0.0029082,             0.96204,             0.96471,             0.97861,             0.70125,            0.025264,           0.0059743,           0.0027717,            0.001882,            0.001882,            0.001882
                  84,            0.025036,            0.010698,           0.0029324,             0.95525,             0.97418,             0.97956,             0.70494,            0.024679,           0.0059257,           0.0025872,            0.001783,            0.001783,            0.001783
                  85,            0.024782,             0.01053,           0.0030508,             0.95629,             0.96811,             0.97735,             0.70391,            0.025071,           0.0059707,            0.003027,            0.001684,            0.001684,            0.001684
                  86,            0.025102,            0.010328,           0.0032167,             0.96423,             0.96466,             0.97753,             0.69645,            0.025553,           0.0060488,           0.0030609,            0.001585,            0.001585,            0.001585
                  87,            0.024607,            0.010816,           0.0029199,             0.97125,             0.96748,             0.97922,             0.71008,             0.02509,           0.0058984,           0.0036241,            0.001486,            0.001486,            0.001486
                  88,            0.024458,            0.010865,           0.0029973,             0.95421,             0.96977,              0.9781,             0.71066,            0.025184,           0.0059573,           0.0022193,            0.001387,            0.001387,            0.001387
                  89,            0.024563,            0.010216,           0.0029749,             0.96619,             0.96961,             0.97878,             0.70034,            0.025158,           0.0059214,           0.0017909,            0.001288,            0.001288,            0.001288
                  90,            0.024497,            0.010353,           0.0029217,             0.96723,             0.97139,             0.97843,             0.70651,            0.025217,           0.0059218,           0.0030522,            0.001189,            0.001189,            0.001189
                  91,            0.024401,            0.010391,           0.0026722,              0.9644,             0.96944,             0.98284,             0.71253,            0.024888,            0.005888,            0.002709,             0.00109,             0.00109,             0.00109
                  92,             0.02443,            0.010486,           0.0026021,             0.96199,             0.96813,             0.97843,             0.70609,             0.02525,           0.0059328,           0.0022469,            0.000991,            0.000991,            0.000991
                  93,            0.024053,            0.010208,           0.0028572,             0.96628,             0.96813,             0.98022,             0.70668,            0.025433,           0.0058762,           0.0026377,            0.000892,            0.000892,            0.000892
                  94,             0.02401,            0.010525,           0.0026829,             0.96262,             0.97004,             0.98014,             0.70986,            0.025285,           0.0058912,           0.0025135,            0.000793,            0.000793,            0.000793
                  95,            0.023807,            0.010171,           0.0025866,             0.96994,             0.97024,             0.98004,               0.712,            0.024976,            0.005805,           0.0020075,            0.000694,            0.000694,            0.000694
                  96,             0.02364,            0.010345,           0.0025403,             0.97268,             0.96997,             0.97888,             0.71299,            0.024728,           0.0058423,            0.002661,            0.000595,            0.000595,            0.000595
                  97,            0.023808,            0.010178,           0.0027449,             0.96813,             0.97022,             0.98028,             0.71068,             0.02479,           0.0058355,           0.0027685,            0.000496,            0.000496,            0.000496
                  98,            0.023309,            0.010329,           0.0024815,             0.97265,             0.96993,             0.97965,             0.71308,            0.024808,           0.0058088,           0.0027617,            0.000397,            0.000397,            0.000397
                  99,            0.023265,            0.010324,           0.0022744,             0.97044,             0.96857,             0.97881,              0.7174,            0.024749,           0.0058084,           0.0024579,            0.000298,            0.000298,            0.000298
